"word","n"
"это",31061
"свой",13041
"знать",10544
"который",10478
"говорить",9579
"мочь",7923
"самый",6906
"весь",6510
"дело",6345
"наш",6343
"очень",5940
"становиться",5660
"хотеть",5378
"ваш",5130
"время",4574
"рука",4287
"год",4216
"понимать",4147
"первый",4039
"слово",4028
"видеть",3946
"день",3856
"начинать",3817
"князь",3782
"думать",3744
"выходить",3540
"любить",3504
"друг",3289
"лицо",3223
"русский",3166
"минута",3144
"смотреть",3073
"именно",3042
"глаз",2988
"давать",2928
"деньги",2919
"господин",2911
"замечать",2822
"сердце",2730
"иметь",2716
"отвечать",2675
"сделать",2632
"стоять",2563
"народ",2553
"всякий",2551
"тотчас",2532
"взять",2526
"мысль",2483
"хотя",2452
"приходить",2424
"последний",2418
"письмо",2395
"спрашивать",2394
"совершенно",2369
"голова",2340
"бог",2316
"несколько",2299
"оставаться",2277
"случай",2270
"место",2242
"таки",2221
"жить",2202
"пойти",2193
"вопрос",2175
"час",2166
"лишь",2161
"ребенок",2134
"вид",2102
"скоро",2069
"идти",2047
"каждый",2034
"правда",2001
"сила",2000
"б",1988
"писать",1964
"слишком",1951
"алеша",1941
"принимать",1921
"отец",1900
"брат",1889
"прежде",1883
"узнавать",1881
"рассказывать",1862
"комната",1832
"иван",1821
"почему",1818
"новый",1791
"делать",1777
"помнить",1773
"сторона",1769
"сидеть",1757
"должный",1755
"пора",1739
"душа",1737
"немой",1691
"входить",1682
"никто",1651
"высокий",1646
"ко",1616
"прямо",1601
"действительно",1584
"дом",1578
"бояться",1577
"хороший",1567
"мало",1562
"непременно",1561
"твой",1555
"особенно",1550
"взгляд",1529
"верить",1528
"ужасно",1524
"написать",1522
"большой",1510
"просить",1508
"мера",1502
"оставлять",1502
"слышать",1501
"образ",1498
"довольно",1495
"вовсе",1485
"тысяча",1474
"идея",1467
"разумеется",1455
"точно",1436
"оба",1435
"однако",1434
"случаться",1426
"ночь",1422
"вечер",1406
"сей",1402
"находить",1399
"россия",1396
"например",1395
"свое",1388
"чувство",1385
"давно",1373
"ждать",1373
"получать",1372
"голос",1366
"молодой",1365
"дверь",1363
"ходить",1350
"крайний",1325
"убивать",1325
"забывать",1324
"иной",1323
"ум",1314
"главное",1311
"смеяться",1311
"прежний",1307
"вместе",1299
"проговаривать",1291
"уходить",1286
"ибо",1280
"право",1274
"месяц",1273
"продолжать",1271
"слушать",1263
"просто",1261
"женщина",1256
"мать",1244
"проходить",1244
"петр",1241
"кроме",1240
"общество",1232
"прощать",1232
"великий",1230
"оно",1224
"являться",1221
"чрезвычайно",1211
"целый",1200
"читать",1200
"подумать",1190
"обращаться",1185
"никакой",1166
"добрый",1159
"конец",1159
"нога",1159
"умирать",1143
"считать",1140
"генерал",1139
"часто",1138
"любовь",1131
"прибавлять",1123
"увидеть",1118
"стол",1114
"бедный",1108
"старик",1107
"странный",1102
"желать",1098
"бросаться",1092
"представлять",1086
"словом",1085
"позволять",1079
"ах",1077
"митя",1077
"сколько",1077
"арестант",1074
"полагать",1074
"весьма",1070
"книга",1067
"посмотреть",1064
"напротив",1061
"чувствовать",1057
"милый",1054
"настоящий",1052
"долго",1045
"несмотря",1043
"полный",1035
"пусть",1035
"садиться",1032
"происходить",1026
"маленький",1023
"решаться",1023
"пред",1022
"ивановна",1012
"федорович",1007
"назад",1005
"больной",1004
"петербург",993
"павлович",989
"дух",987
"утро",987
"кричать",982
"рубль",979
"иванович",975
"мир",973
"хотеться",971
"завтра",970
"вчера",963
"земля",961
"казаться",960
"дорога",959
"показывать",958
"приезжать",956
"пять",953
"жена",949
"г",946
"статья",946
"собственный",939
"характер",938
"город",929
"останавливаться",925
"дома",924
"значит",921
"дама",914
"подходить",910
"европа",908
"неужели",907
"шаг",905
"бывать",903
"некоторый",900
"соглашаться",899
"разговор",897
"николай",896
"вскричать",890
"старый",890
"голядкин",888
"некоторые",885
"вставать",883
"уверять",882
"повторять",880
"кончать",878
"лежать",875
"поражать",875
"прочитывать",874
"факт",874
"пожалуй",873
"третий",870
"затем",865
"работа",861
"вещь",856
"успевать",856
"петрович",855
"глядеть",854
"цель",852
"вообще",849
"роман",849
"плакать",846
"решать",835
"наверно",830
"страшный",823
"отдавать",820
"молчать",819
"бросать",818
"нужно",818
"слеза",812
"известный",810
"мнение",807
"второй",803
"неделя",801
"вполне",800
"доходить",797
"обстоятельство",796
"впечатление",792
"благородный",790
"встречать",786
"ответ",786
"угол",786
"объявлять",785
"готовый",784
"дескать",784
"история",783
"прийти",781
"часть",780
"показываться",779
"острог",777
"решительно",776
"положение",774
"степень",774
"нарочно",773
"ожидать",772
"раскольников",772
"мальчик",770
"катерина",769
"начинаться",769
"сон",769
"сильно",767
"черт",765
"воротиться",764
"десять",763
"счастие",762
"против",761
"улица",757
"посылать",756
"виноватый",755
"малый",754
"давеча",753
"рад",752
"сюда",744
"квартира",741
"должно",737
"уметь",737
"подымать",735
"пока",735
"сильный",730
"признаваться",728
"спать",727
"поверять",722
"гость",715
"столько",712
"муж",711
"улыбаться",710
"смысл",708
"далеко",706
"надежда",705
"особенный",704
"объяснять",701
"окно",701
"немного",697
"нечего",697
"заговаривать",693
"москва",692
"бежать",691
"называть",690
"несчастный",682
"род",681
"передавать",679
"причина",679
"глупый",676
"доктор",676
"журнал",675
"приносить",671
"прекрасный",669
"оказываться",666
"взглядывать",665
"имя",664
"страх",659
"ясно",659
"состояние",657
"восклицать",655
"сын",652
"закричать",645
"умный",645
"анна",644
"указывать",643
"мгновение",640
"сначала",640
"равно",638
"настасья",637
"судьба",636
"коля",635
"целовать",635
"внимание",632
"степан",630
"ужасный",630
"четыре",630
"боже",628
"быстро",628
"иначе",627
"новое",622
"сметь",622
"убеждение",622
"уверенный",622
"петровна",621
"пьяный",619
"фома",619
"помогать",617
"свет",617
"правый",616
"кровь",610
